Name,Rating,Address
Sponsored,,"Radisson Blu Hotel, Chattogram Bay View"
Sponsored,By Booking.com,
Hotel Diamond Park,3.8,3-star hotel
Hotel Heritage,3.8,2-star hotel
Royal Park Residential Hotel,3.6,Hotel
White Park Hotel & Suites Chittagong,4.0,Hotel
White Park Boutique Hotel,4.1,3-star hotel
Hotel Crown City,4.0,Resort hotel
Hotel Hoque Tower International,3.9,Hotel
Hotel Regent Park,3.9,2-star hotel
Aristos Boutique Hotel,3.8,3-star hotel
Hotel The Al-Aqsa (Prime Location Business Hotel in Chattogram),3.8,3-star hotel
Foy's Lake Resort,4.2,3-star hotel
Well Park Residence,4.2,4-star hotel
Best Western SKS Chattogram,4.3,5-star hotel
"Radisson Blu Hotel, Chattogram Bay View",4.6,5-star hotel
Hotel Inn Chittagong,4.1,Hotel
Meridian Hotel & Restaurant,3.9,
Hotel Regal Palace,4.1,1-star hotel
The Avenue Hotel & Suites,4.1,3-star hotel
Hotel Royal Avenue,3.8,3-star hotel
Jatra Flagship Chattogram City Centre,4.4,4-star hotel
"Radisson Blu Hotel, Chattogram Bay View",4.6,5-star hotel
Brisa Marina,4.3,4-star hotel
Hotel Grand SunShine,3.8,Hotel
Asian SR Hotel,3.7,2-star hotel
Hotel Agrabad,4.3,4-star hotel
Hotel Royal Avenue,3.8,3-star hotel
The Peninsula Chittagong,4.4,4-star hotel
Hotel Saint Martin Ltd,3.9,3-star hotel
Hotel Tower Inn,3.8,3-star hotel
White Inn luxury residential Hotel,3.7,3-star hotel
The Light Park,4.3,Hotel
Royal Living Hotel & Suites,3.8,3-star hotel
Naba Inn,3.9,3-star hotel
Grand Imperial Hotel,3.8,Hotel
Ambassador Residency,3.8,3-star hotel
Hotel Eastern View,3.8,3-star hotel
Hotel City Inn,3.6,2-star hotel
Executive residential Hotel.,3.5,Hotel
Orchid Business Hotel,3.7,3-star hotel
হোটেল সুইস গার্ডেন আন্তর্জাতিক-Hotel swiss Garden international,3.8,1-star hotel
