Name,Rating,Address
Seasonal Tastes,4.6,"The Westin, Main Gulshan Ave"
Thai Chi Restaurant & Cafe,4.1,"Level 7, 117/A, Puraton, Rangs Bhaban, Bijay Sarani, Biman Bondor Sarak"
The Garden Kitchen at Sheraton Dhaka,4.5,44 Kemal Ataturk Ave
The Grove Bistro,4.5,"Level 12, Hamid Tower, Gulshan Circle 2"
Breeze Restaurant,4.4,"House# 1/C, 1/D, Road# 16"
MANZO Restaurant Dhaka,4.4,"2nd Floor, 114 Gulshan Ave"
Bistro-E,4.4,"1st Floor NE (N, Bay's Edgewater, 12 Felani Ave"
Grandiose Restaurant,4.4,"Dhaka Regency Hotel & Resort (Level 6, Tongi Diversion Rd"
Zephyr Restaurant & Lounge,4.3,"Catharsis Tower, House-133 Rd 12"
The Green Lounge,4.3,"Rupayan Trade Center, 114, Rupayan Trade Center, 18th Floor, 114 Kazi Nazrul Islam Ave"
Takeout Banani,4.4,"Plot No. 35, Abedin Tower, 1st Floor, Road No 17, Kemal Ataturk Ave"
Takumi,4.6,"Plot9 1st Floor, Zahirul Tower, 9 Rd No 113/A"
Lucknow Dhaka,4.1,"Block- B, House-35 Rd No 18"
Bird's Eye Roof Top Restaurant and Convention Hall,4.2,"H.No 56/1 19th floor, Baitul View Tower"
Almajlis Arabian Restaurant | مطعم المجلس العربي,4.6,"2nd Floor, Faisal Tower, 27 North C/A"
Hongbao,4.6,65 Gulshan Ave
Chef's Table - Gulshan 2,4.5,Gulshan Centre Point
Aquadeck at InterContinental Dhaka,4.6,1 Minto Rd
Sajna Restaurant,4.1,"House 14, House 14 Road No. 11"
Prego,4.3,"The Westin, Main Gulshan Ave"
Palm View Restaurant,4.2,
Soi 71,4.2,House-8 Rd 101
Tree House,4.2,"Banani 13/E , house #135 Opposite of Prescription Point, Rd No. 13E"
OLIO STEAK,4.8,
Lake Terrace,4.0,"House # 25/E, Lake Drive Rd"
Koreana Restaurant,4.4,"House No, 22 Rd 123"
Tu do Restaurant,4.6,House- 59 Road No.7
Meat Theory,4.8,"Tower B11, Level 14 Plot 43, Block F Road No. 11"
Barcode Cafe,4.3,House 55/B Rd No # 21
Turkish Bazaar & Restaurant,4.2,"House 48/E, 131 Road No 13C"
Oro Dhaka,4.4,"6/A, Rangs FC 2 corner of Rd 32 and, Gulshan Ave"
Elements Global Dining at InterContinental Dhaka,4.6,1 Minto Rd
The Amber Room at InterContinental Dhaka,4.6,1 Minto Rd
O' Play Restaurant,4.2,"Block H, House 36 Road No.7"
The Atrium Restaurant,4.1,"50 & 52, Pragati Avenue, J Block, Baridhara"
Konami Dhaka,4.7,"House- 58/B, Rd 131"
Amrit restaurant,4.7,21 Road No. 17
Pinewood Cafe n' Restaurant,4.2,"House #352/A, Road No. 16"
Ozz Cafe,4.4,"Bangladesh Eye Hospital, House-133, Road-9/A, New Captain Road Er pichone"
Flambe Restaurant,4.3,"K Building, Block-NW, 06 Rd No. 50"
Green House Restaurant,4.2,"Address: 25, Elephant Road (Beside Eastern Mollika Shopping Complex) Dhaka, Bangladesh"
VAULT | Modern Asian Restaurant,4.2,"Autograph Tower, 67-68 Kemal Ataturk Ave"
MOJA Korean Fusion Restaurant,4.8,"11th Floor, Hamid Tower, Gulshan C/A"
"Spaghetti Jazz, Dhaka",4.2,"Rob Bhaban. Plot 3 ( 4th floor) , Gulshan circle II"
Paturi Banani,4.2,"Block G, House No, 38 Rd No. 11"
Goong The Castle,4.4,"House no: 88, House no: 88, 12/B Rd No. 50"
Guhaa ... The Cave Kitchen,3.7,"Level 9, H.No, 736 KB Square"
Villa Azzur,4.3,"House: 61, Road: 15, Block: D"
China Garden Restaurant Ltd,4.3,"house no 14, 2 Rd 101"
Cilantro,4.1,"House-52, Road 12A"
Ginza,4.2,"4th Floor, house 25 Road No. 11"
Istanbul Restaurant Dhaka,4.1,"QCW7+79W, House-10, Road-53, Gulshan Circle-2, Top of Weavers Level-6 Dhaka"
Magpie Restaurant,4.0,"24, 4 Bashundhara Rd"
BLUE SALT,4.1,"orin tower, house 23 Rd No 113/A"
El Toro Mexican Restaurant,4.1,H # 9/A R # 36
